repository_path,asset_family,surface_role,dimensions,byte_size,sha256,format,colour_mode,alpha_status,asset_role,canonical_source,alias_relationship,production_approved,intended_use,source_type,editable_source,note
Assets/00_README/README.txt,legacy brand kit,,,1055,76683DCA663667683AE2FF8AB102BD5BA4A59387F900F90228FE69780DE1A3B2,TXT,,not applicable,existing asset,,,,Package README,existing repository asset,,Package README
Assets/01_Final_Banner/JPEG/AniManga_Wire_YT_Banner_LOCKED_2048x1152.jpg,legacy brand kit,,2048x1152,847685,A74871C03405D5EDF1EDAADB5C0ED58C31DFCDDAA2079923248D23F20342814E,JPEG,RGB,absent,existing asset,,,,"Locked manga-style YouTube banner, JPEG under 6 MB",existing repository asset,,"Locked manga-style YouTube banner, JPEG under 6 MB"
Assets/01_Final_Banner/JPEG/AniManga_Wire_YT_Banner_LOCKED_2560x1440.jpg,legacy brand kit,,2560x1440,1137094,F864F870322DE3CE0D3D34CE05C8EA80372216A7662F6F9931B7B1B74157C664,JPEG,RGB,absent,existing asset,,,,"Locked manga-style YouTube banner, JPEG under 6 MB",existing repository asset,,"Locked manga-style YouTube banner, JPEG under 6 MB"
Assets/01_Final_Banner/PNG/AniManga_Wire_YT_Banner_LOCKED_2048x1152.png,legacy brand kit,,2048x1152,4445605,5F79207AE992A61473476652FA11C9D5B8FA14D90F3702F12D3166784785D9DA,PNG,RGB,absent,existing asset,,,,"Locked manga-style YouTube banner, PNG",existing repository asset,,"Locked manga-style YouTube banner, PNG"
Assets/01_Final_Banner/PNG/AniManga_Wire_YT_Banner_LOCKED_2560x1440.png,legacy brand kit,,2560x1440,6325796,D9D63CCBD06E3AD7BB9570AFDC1164567DCEA307C2288EE51F9245DCE7562B89,PNG,RGB,absent,existing asset,,,,"Locked manga-style YouTube banner, PNG",existing repository asset,,"Locked manga-style YouTube banner, PNG"
Assets/01_Final_Banner/Safe_Area_Guides/AniManga_Wire_VIEWABLE_ON_ALL_DEVICES_CROP_1546x423.png,legacy brand kit,,1546x423,978398,A9126BF39F5E045224ADAB77250D1E784BDFF92775A5DD20CDC50FE9A9A82FB8,PNG,RGB,absent,existing asset,,,,Exact YouTube all-device visible center crop,existing repository asset,,Exact YouTube all-device visible center crop
Assets/01_Final_Banner/Safe_Area_Guides/AniManga_Wire_YT_Banner_SAFE_AREA_GUIDE_2048x1152.jpg,legacy brand kit,,2048x1152,900029,FDCDD0838C6CE66CAC15903CCD5B6790D61D97F303EB4BD7200D457EB97A1265,JPEG,RGB,absent,existing asset,,,,Safe area guide for 2048x1152 working file,existing repository asset,,Safe area guide for 2048x1152 working file
Assets/01_Final_Banner/Safe_Area_Guides/AniManga_Wire_YT_Banner_SAFE_AREA_GUIDE_2560x1440.jpg,legacy brand kit,,2560x1440,1209690,943519C5ECDF4C0FD66FFB85A7662AAECED6E44E1F377DB2A30029486A26E463,JPEG,RGB,absent,existing asset,,,,"Safe area guide: blue=all devices, green=comfortable content margin",existing repository asset,,"Safe area guide: blue=all devices, green=comfortable content margin"
Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_1080x1080.jpg,legacy brand kit,,1080x1080,537544,A2ADE64EA609D1FDCB8FFE1E533D48C7D3AAD00E3269F96F290AA0EF45B2DA9C,JPEG,RGB,absent,existing asset,,,,Abbreviated AMW 1:1 profile logo JPEG,existing repository asset,,Abbreviated AMW 1:1 profile logo JPEG
Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_1080x1080.png,profile,light,1080x1080,492685,C522F8C58AC8085C1CB850E094ABF2E9DFB4C87777F87C239FDD05728874086B,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 1254 -> 1080,true,approved profile derivative,deterministic transparent raster derivative,not currently available,Abbreviated AMW 1:1 profile logo PNG
